ma_combo,pattern,rr,sl_buf,tp1,frac,trail,folds_with_trades,total_trades,mean_net,min_net,mean_wr,min_wr,mean_pf,mean_dd,mean_avg,mean_tpd
ribbon_ema55_ema100,P2,3.000,3.000,0.700,0.700,none,3,85,46.857,6.148,64.123,57.143,1.515,46.815,1.544,2.782
ribbon_ema55_ema100,P2,4.000,3.000,0.700,0.500,none,3,85,48.723,6.016,64.123,57.143,1.551,51.431,1.563,2.780
ribbon_ema55_ema100,P2,4.000,3.000,0.700,0.300,none,3,85,48.556,2.134,64.123,57.143,1.567,57.588,1.521,2.780
ribbon_ema55_ema100,P2,4.000,3.000,0.700,0.700,none,3,85,48.889,9.898,64.123,57.143,1.535,46.815,1.606,2.780
ribbon_ema55_ema100,P2,5.000,3.000,0.700,0.500,none,3,84,44.378,9.925,63.594,55.556,1.491,51.431,1.442,2.745
ribbon_ema55_ema100,P2,5.000,3.000,0.700,0.700,none,3,84,44.163,5.888,63.594,55.556,1.485,46.815,1.458,2.745
ribbon_ema55_ema100,P2,5.000,3.000,0.700,0.300,none,3,84,44.592,11.683,63.594,55.556,1.497,57.588,1.427,2.745
ribbon_ema55_ema100,P2,4.000,3.000,0.700,0.300,swing,3,93,54.374,16.645,63.492,57.143,1.463,49.571,1.600,3.040
ribbon_ema55_ema100,P2,3.000,3.000,0.700,0.700,ema21,3,93,46.125,5.043,63.492,57.143,1.402,48.894,1.327,3.039
ribbon_ema55_ema100,P2,3.000,3.000,0.700,0.500,swing,3,93,51.825,8.581,63.492,57.143,1.448,49.079,1.506,3.040
ribbon_ema55_ema100,P2,3.000,3.000,0.700,0.700,swing,3,93,50.316,11.437,63.492,57.143,1.432,48.587,1.470,3.040
ribbon_ema55_ema100,P2,3.000,3.000,0.700,0.300,swing,3,93,53.335,5.725,63.492,57.143,1.464,49.571,1.542,3.040
ribbon_ema55_ema100,P2,5.000,3.000,0.700,0.700,swing,3,93,48.935,14.437,63.492,57.143,1.413,48.587,1.461,3.040
ribbon_ema55_ema100,P2,5.000,3.000,0.700,0.700,ema21,3,93,44.049,5.043,63.492,57.143,1.381,48.894,1.281,3.039
ribbon_ema55_ema100,P2,4.000,3.000,0.700,0.700,swing,3,93,50.761,16.117,63.492,57.143,1.432,48.587,1.495,3.040
ribbon_ema55_ema100,P2,4.000,3.000,0.700,0.500,swing,3,93,52.567,16.381,63.492,57.143,1.447,49.079,1.548,3.040
ribbon_ema55_ema100,P2,5.000,3.000,0.700,0.300,swing,3,93,50.113,12.725,63.492,57.143,1.419,49.571,1.522,3.040
ribbon_ema55_ema100,P2,5.000,3.000,0.700,0.500,swing,3,93,49.524,13.581,63.492,57.143,1.416,49.079,1.491,3.040
ribbon_ema55_ema100,P2,4.000,3.000,0.700,0.700,ema21,3,93,44.340,5.043,63.492,57.143,1.388,48.894,1.270,3.039
ribbon_ema55_ema100,P2,3.000,3.000,1.000,0.700,swing,3,88,81.754,15.677,56.652,50.000,1.597,51.872,2.605,2.870
ribbon_ema55_ema100,P2,3.000,3.000,1.000,0.500,swing,3,88,88.903,17.275,56.652,50.000,1.648,53.433,2.848,2.870
ribbon_ema55_ema100,P2,3.000,3.000,1.000,0.300,swing,3,88,96.053,18.873,56.652,50.000,1.699,54.995,3.092,2.870
ribbon_ema55_ema100,P2,4.000,3.000,1.000,0.300,swing,3,88,94.751,23.773,56.652,50.000,1.683,54.995,3.092,2.870
ribbon_ema55_ema100,P2,4.000,3.000,1.000,0.700,swing,3,88,81.196,17.777,56.652,50.000,1.591,51.872,2.605,2.870
ribbon_ema55_ema100,P2,4.000,3.000,1.000,0.500,swing,3,88,87.973,20.775,56.652,50.000,1.637,53.433,2.849,2.870
ribbon_ema55_ema100,P2,5.000,3.000,1.000,0.300,swing,3,88,88.908,19.853,56.652,50.000,1.638,54.995,2.958,2.870
ribbon_ema55_ema100,P2,5.000,3.000,1.000,0.500,swing,3,88,83.800,17.975,56.652,50.000,1.604,53.433,2.753,2.870
ribbon_ema55_ema100,P2,5.000,3.000,1.000,0.700,swing,3,88,78.692,16.097,56.652,50.000,1.571,51.872,2.548,2.870
