ma_combo,pattern,rr,sl_buf,be_at_r,trail,folds_with_trades,total_trades,mean_net_pts,min_net_pts,mean_win_rate,mean_pf,mean_max_dd,mean_trades_per_day
ribbon_ema55_ema100,P2,3.000,3.000,1.000,swing,3,88,106.777,21.270,51.822,1.773,58.293,2.870
ribbon_ema100,P2,3.000,3.000,1.000,swing,3,88,106.777,21.270,51.822,1.773,58.293,2.870
ribbon_ema100,P2,4.000,3.000,1.000,swing,3,88,104.917,28.270,51.822,1.751,58.293,2.870
ribbon_ema55_ema100,P2,4.000,3.000,1.000,swing,3,88,104.917,28.270,51.822,1.751,58.293,2.870
ribbon_ema55_ema100,P2,2.000,3.000,1.000,none,3,83,104.700,51.690,35.107,1.870,52.543,2.711
ribbon_ema100,P2,2.000,3.000,1.000,none,3,83,104.700,51.690,35.107,1.870,52.543,2.711
ribbon_ema100,P2,2.000,3.000,1.000,swing,3,88,101.830,44.570,54.493,1.726,51.237,2.870
ribbon_ema55_ema100,P2,2.000,3.000,1.000,swing,3,88,101.830,44.570,54.493,1.726,51.237,2.870
ribbon_ema100,P2,6.000,3.000,1.000,swing,3,88,96.570,22.670,50.945,1.685,58.293,2.870
ribbon_ema100,P2,5.000,3.000,1.000,swing,3,88,96.570,22.670,50.945,1.685,58.293,2.870
ribbon_ema55_ema100,P2,6.000,3.000,1.000,swing,3,88,96.570,22.670,50.945,1.685,58.293,2.870
ribbon_ema55_ema100,P2,5.000,3.000,1.000,swing,3,88,96.570,22.670,50.945,1.685,58.293,2.870
ribbon_ema100,P2,2.000,3.000,1.500,none,3,81,95.093,24.310,37.494,1.598,62.227,2.641
ribbon_ema55_ema100,P2,2.000,3.000,1.500,none,3,81,95.093,24.310,37.494,1.598,62.227,2.641
ribbon_ema55_ema100,P2,2.000,3.000,1.500,swing,3,84,93.770,9.990,43.368,1.571,65.887,2.734
ribbon_ema100,P2,2.000,3.000,1.500,swing,3,84,93.770,9.990,43.368,1.571,65.887,2.734
ribbon_ema55_ema100,P2,2.000,3.000,1.000,ema21,3,89,92.776,32.017,55.158,1.664,57.754,2.902
ribbon_ema100,P2,2.000,3.000,1.000,ema21,3,89,92.776,32.017,55.158,1.664,57.754,2.902
ribbon_ema55_ema100,P2,2.000,3.000,,ema21,3,81,82.773,1.180,39.009,1.480,69.733,2.640
ribbon_ema55_ema100,P2,2.000,3.000,,none,3,81,82.773,1.180,39.009,1.480,69.733,2.640
ribbon_ema100,P2,2.000,3.000,,swing,3,81,82.773,1.180,39.009,1.480,69.733,2.640
ribbon_ema55_ema100,P2,2.000,3.000,,swing,3,81,82.773,1.180,39.009,1.480,69.733,2.640
ribbon_ema100,P2,2.000,3.000,,ema21,3,81,82.773,1.180,39.009,1.480,69.733,2.640
ribbon_ema100,P2,2.000,3.000,,none,3,81,82.773,1.180,39.009,1.480,69.733,2.640
ribbon_ema55_ema100,P2,1.500,3.000,1.000,swing,3,88,82.772,38.665,54.493,1.594,50.310,2.872
ribbon_ema100,P2,1.500,3.000,1.000,swing,3,88,82.772,38.665,54.493,1.594,50.310,2.872
ribbon_ema100,P2,1.500,3.000,1.000,ema21,3,89,79.071,33.469,55.158,1.570,53.621,2.905
ribbon_ema55_ema100,P2,1.500,3.000,1.000,ema21,3,89,79.071,33.469,55.158,1.570,53.621,2.905
ribbon_ema55_ema100,P2,1.500,3.000,1.000,none,3,86,73.788,25.755,38.448,1.578,53.258,2.805
ribbon_ema100,P2,1.500,3.000,1.000,none,3,86,73.788,25.755,38.448,1.578,53.258,2.805
ribbon_ema100,P2,2.000,3.000,0.500,none,3,90,55.893,27.480,22.822,1.624,51.283,2.943
ribbon_ema55_ema100,P2,2.000,3.000,0.500,none,3,90,55.893,27.480,22.822,1.624,51.283,2.943
ribbon_ema100,P2,2.000,2.000,0.500,none,3,94,38.240,6.190,21.026,1.432,51.290,3.068
ribbon_ema55_ema100,P2,2.000,2.000,0.500,none,3,94,38.240,6.190,21.026,1.432,51.290,3.068
ribbon_ema100,P2,2.000,3.000,0.500,ema21,3,98,35.174,5.015,46.336,1.321,46.133,3.198
ribbon_ema55_ema100,P2,2.000,3.000,0.500,ema21,3,98,35.174,5.015,46.336,1.321,46.133,3.198
ribbon_ema55_ema100,P2,1.500,3.000,0.500,swing,3,98,29.617,2.730,46.251,1.273,44.253,3.203
ribbon_ema100,P2,1.500,3.000,0.500,swing,3,98,29.617,2.730,46.251,1.273,44.253,3.203
ribbon_ema100,P2,1.500,2.000,0.500,ema21,3,100,18.547,6.020,41.183,1.161,40.889,3.265
ribbon_ema55_ema100,P2,1.500,2.000,0.500,ema21,3,100,18.547,6.020,41.183,1.161,40.889,3.265
